Upload_logger 2022-12-28 00:11:56,756 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-60.userapi.com/impf/ZDGIslFZsegYL_VTnPItFBng7oZqc1PXbNFsJA/DbTJ2IUtH6g.jpg?size=2560x1920&quality=96&sign=2651b380a52e945f3d023d6017b753ac&c_uniq_tag=Jigzy8D1pKSPa7tLOg27gr7q2OPxd0Y0Gu4XwV3T85s&type=album
Upload_logger 2022-12-28 00:11:58,179 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-68.userapi.com/impf/57nEmCLlDXAc9iVx-v_5E56sZEJJ4WCD1DN1-w/5Nz3cQIUn9s.jpg?size=2560x1920&quality=96&sign=ee4b3a0f3e14428cd90161808b18f419&c_uniq_tag=6nco1kTfwUDRZcAvSvPjRw-VBVOWh3YdHUVNjiEWhrE&type=album
Upload_logger 2022-12-28 00:11:59,066 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-20.userapi.com/impf/c624130/v624130392/185b/qVvZD7ewv2M.jpg?size=1280x960&quality=96&sign=9ed65969632969b67784087e55cb1b4f&c_uniq_tag=eJZLxxMeBw_mqsFKoc3RlRLibWbiQ_EjeDLm8hwlSYc&type=album
Upload_logger 2022-12-28 00:12:00,316 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-81.userapi.com/impf/Br6fsqk_MDIposF6cTvL3N9drxNP0lA8xz2zAQ/bcte1z_fe3M.jpg?size=1280x960&quality=96&sign=df6f9d7655627bee0453ddd553ea9622&c_uniq_tag=PUoLTZcob9_g7rQaj_OEWcUlBw56s5Nm03Tn4B_sBh0&type=album
Upload_logger 2022-12-28 00:12:01,700 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-69.userapi.com/impf/c622019/v622019392/21c97/GYmZnNGiniU.jpg?size=1280x960&quality=96&sign=e1c51f2db5d1e698aef59dd5916e09fd&c_uniq_tag=3Filn30TSC4Ex4q9jTcDTU3grmPH3YkP5p_TpT9L1dU&type=album
Upload_logger 2022-12-28 00:12:02,008 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-25.userapi.com/impf/c629306/v629306843/25849/QgbTQwRuY_0.jpg?size=1280x853&quality=96&sign=ceb47371abe26107d495091afe80963f&c_uniq_tag=7_AfV8U4Hr0I2Ql0G2cXU4DO5ZIkNDJrdWfvbnMnhu4&type=album
Upload_logger 2022-12-28 00:12:02,377 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-46.userapi.com/impf/c633320/v633320392/2a079/RsQxfLxT84s.jpg?size=1296x972&quality=96&sign=24572d5c1b3f182b16f0a076940970e0&c_uniq_tag=IsnGRyD1VjLByyP-2SKliNwxMLQr5HJV_JE-YbRko3Q&type=album
Upload_logger 2022-12-28 00:12:02,776 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-40.userapi.com/impf/c625219/v625219392/4b2c5/xB6Xw9lMXIQ.jpg?size=720x960&quality=96&sign=81f3ba6542fb69cf968560e9d877ed2a&c_uniq_tag=pq1rMsFQfWTUL9UrtFWC9zH-ZHCl8PZuMaKqhcd1Wd4&type=album
Upload_logger 2022-12-28 00:12:03,650 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-15.userapi.com/impf/c845019/v845019018/9aafa/uWzrAR5JW94.jpg?size=2560x1920&quality=96&sign=363698e6974f7b5722746e05669ed32a&c_uniq_tag=dNdmldsWDDckZO5J2bN6jZY2rv1W4o30Jv2yUaOzOC0&type=album
Upload_logger 2022-12-28 00:12:04,233 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-14.userapi.com/impf/c847221/v847221678/204b2d/Jy35T6Daw8o.jpg?size=1440x2160&quality=96&sign=455427a35efa8441b6ea4f42ffb09229&c_uniq_tag=sATNsx69G58Xi_CwgoHgkgLaUqcECzL0w9nFS82I4CE&type=album
Upload_logger 2022-12-28 00:12:04,720 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-30.userapi.com/impf/c857632/v857632423/13546/nQHGrNGyH98.jpg?size=1215x2160&quality=96&sign=d16588b7e7d6fbebf79ca08b6782d2ef&c_uniq_tag=6V-mgIWC4wdTtuy8wMV8BJdvIoOYpTCrnHYganTP1Aw&type=album
Upload_logger 2022-12-28 00:12:05,606 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-43.userapi.com/impg/Y6Pl_5vn5f4YUEMN_R7T0HY56RlWG1bTgF4-iA/IsZuEqzYyd0.jpg?size=1617x2160&quality=96&sign=5c7f209b64758560a44b1e9929808894&c_uniq_tag=02fXxuumj17-Ied1CGxBJuE2xFmwuTPUlp7go5kXJns&type=album
Upload_logger 2022-12-28 00:12:06,763 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-14.userapi.com/impg/EZ4NyeZFdYYrKIHpo-t_nf4NuudxKGdCvB9JlA/u9s79gXR30w.jpg?size=1521x1014&quality=96&sign=406830805262a3254858eb1ef49a99f0&c_uniq_tag=70r7vYUuW0CLbs3FrEh8FLSbzkydbPNzLdR91Bg4hsM&type=album
